Time,Voltage,Current
3.5362260055564544e-05,0.25704216595412266,0.5660040503488594
3.536962154978402e-05,0.2571174729657333,0.5660013413761448
3.537854445466397e-05,0.2571257366143951,0.5659980555540823
3.538746735954392e-05,0.25715359504361635,0.565994769087968
3.539639026442387e-05,0.2572714577857216,0.5659914831464481
3.5405313169303814e-05,0.2574491292709067,0.5659881972283917
3.5414236074183765e-05,0.2575558088272376,0.5659849091628903
3.5423317110889315e-05,0.25744604073428956,0.5659815582073723
3.5432398147594865e-05,0.2573897731905377,0.5659782071360717
3.5441479184300416e-05,0.2575884274279594,0.5659748592920827
3.545056022100596e-05,0.25795601207512453,0.5659715132482143
3.545964125771151e-05,0.2581191231571949,0.5659681628069898
3.546715227054203e-05,0.2579376730960923,0.5659653856157363
3.547466328337256e-05,0.2578359090630853,0.5659626090605062
3.5482174296203084e-05,0.2579686779321193,0.5659598357113672
3.5489685309033614e-05,0.2582602343230276,0.5659570643111682
3.5497196321864136e-05,0.2584042406015281,0.5659542897755396
3.5503500447127303e-05,0.2583245614712806,0.5659519572005451
3.550980457239047e-05,0.25829090174129377,0.5659496249057772
3.551610869765364e-05,0.25833925942239766,0.5659472934887192
3.5522412822916805e-05,0.2584434489092433,0.5659449625147724
3.552871694817997e-05,0.25851510098030195,0.5659426305172549
3.553537844779656e-05,0.25852094944677395,0.5659401646362081
3.554203994741315e-05,0.258544193412539,0.5659376985039966
3.554870144702974e-05,0.25860356959733943,0.5659352324316147
3.555536294664633e-05,0.2586875217089668,0.5659327662272734
3.5562024446262915e-05,0.2587542004432626,0.5659302991964001
3.5570239472079814e-05,0.25877994548885175,0.5659272551492208
3.5578454497896706e-05,0.2588192226052546,0.5659242105056961
3.5586669523713605e-05,0.2589095233415595,0.5659211658881134
3.55948845495305e-05,0.25903410156105,0.5659181210185589
3.5603099575347396e-05,0.2591219734412036,0.5659150747189172
3.5612442746224005e-05,0.2590820793470696,0.5659116067614942
3.5621785917100614e-05,0.2590757561548189,0.5659081382995428
3.5631129087977224e-05,0.2592384719549119,0.5659046715815137
3.564047225885383e-05,0.2595126671574386,0.565901205652111
3.564981542973044e-05,0.2596477544921263,0.5658977363522927
