No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3857,0.000408,0.000467,171578,1.761687568875229,18.27658169231922,2.1965970681592655,2.1965970681592655,0.0013895798936988714,0.5008584932745251
3858,0.000408,0.000467,181052,1.75541728854161,18.266392069004528,2.2605828280271085,2.2605828280271085,0.001317167873481411,0.5002556608287448
3859,0.000408,0.000467,190526,1.747903774513986,18.29749121753855,2.327083339952833,2.327083339952833,0.0012546544368567576,0.5005851218666867
3860,0.000408,0.000467,200000,1.7430338912005248,18.273948657594392,2.3907892351398097,2.3907892351398097,0.0011951224656528607,0.49998874805623095
3861,0.000408,0.000698,20000,0.7914954663155543,26.394154502708915,3.715698869168245,3.715698869168245,0.07955956651312705,4.169360015548211
3862,0.000408,0.000698,29473,0.7490252833215263,26.642826280553933,3.921438504950696,3.921438504950696,0.054060079771211966,4.157857231734395
3863,0.000408,0.000698,38947,0.699319698833469,26.770199164056386,4.137739096463613,4.137739096463613,0.04119259906954515,4.164288656972141
3864,0.000408,0.000698,48421,0.678567536424315,26.85375789032903,4.350079013008281,4.350079013008281,0.03328506361627277,4.1746259130634185
3865,0.000408,0.000698,57894,0.6677711704894533,26.97330909302972,4.548949480857408,4.548949480857408,0.02779230979625982,4.163228452278924
3866,0.000408,0.000698,67368,0.6504078589117857,27.006657761657703,4.758311843422317,4.758311843422317,0.023953420358544204,4.167938682554034
3867,0.000408,0.000698,76842,0.6510411414770741,27.034103346326116,4.9630333926697485,4.9630333926697485,0.021017269311777623,4.171782934292276
3868,0.000408,0.000698,86315,0.6398839276527076,26.998761316988023,5.16704471453304,5.16704471453304,0.0187198733737706,4.169120182869489
3869,0.000408,0.000698,95789,0.6303638639689113,27.0231766293723,5.37564906646788,5.37564906646788,0.01690491544057243,4.1741621739791706
3870,0.000408,0.000698,105263,0.632865289164659,27.099524342897553,5.57706128477093,5.57706128477093,0.015374655898330291,4.17290973762907
3871,0.000408,0.000698,114736,0.6258685074365659,27.129962627686183,5.781810019224102,5.781810019224102,0.014114221118609806,4.17263975217542
3872,0.000408,0.000698,124210,0.619642845178223,27.134472445720593,5.988834894248904,5.988834894248904,0.013055231743120297,4.175682509309705
3873,0.000408,0.000698,133684,0.6225612626572186,27.146914597621503,6.18842446218607,6.18842446218607,0.012116164362370169,4.172161176980343
3874,0.000408,0.000698,143157,0.6175931618731855,27.129431644930552,6.393332467689423,6.393332467689423,0.011321210240370128,4.17261553402017
3875,0.000408,0.000698,152631,0.6197854560575717,27.178666693067495,6.598367094180556,6.598367094180556,0.010624819564219167,4.176037838865641
3876,0.000408,0.000698,162105,0.6157527525489948,27.170628468759432,6.8006675661174905,6.8006675661174905,0.010001435459056657,4.173359316563386
3877,0.000408,0.000698,171578,0.6122081163840043,27.140163679494982,7.005235204029523,7.005235204029523,0.009453261464077937,4.173678510972506
3878,0.000408,0.000698,181052,0.6143296755046429,27.13861270229833,7.207801029432906,7.207801029432906,0.008957161292098127,4.173899188688621
3879,0.000408,0.000698,190526,0.6108697941623128,27.18499459927489,7.413569549738482,7.413569549738482,0.008517833461575156,4.175455861064008
3880,0.000408,0.000698,200000,0.6077930426466214,27.17986064213087,7.618828645227096,7.618828645227096,0.008118736792746972,4.176458982939995
3881,0.000408,0.000778,20000,0.48489570095253826,33.8645192389891,4.151058974426608,4.151058974426608,0.08904907921525979,5.0423474883268105
3882,0.000408,0.000778,29473,0.44476385050436035,34.07227092383108,4.382459158574592,4.382459158574592,0.060564268499770715,5.04279122475364
3883,0.000408,0.000778,38947,0.4014611546199846,34.14028526281246,4.619955595733738,4.619955595733738,0.04606793111817385,5.055176040933579
3884,0.000408,0.000778,48421,0.3828181901656441,34.208017679310714,4.852405038727618,4.852405038727618,0.03715487532377389,5.063565532380091
3885,0.000408,0.000778,57894,0.3728828939632489,34.31343222383477,5.076837017846211,5.076837017846211,0.031055900886503018,5.057686578951935
3886,0.000408,0.000778,67368,0.35808761671509676,34.30631236806798,5.308069307177881,5.308069307177881,0.026742108882392108,5.063589018966243
