No,L,C,fsw,t_d,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu,P_D
18,3e-05,0.000115,200000,1e-06,62.920473901121596,5.180051552322175,3.792808751774901,3.792808751774901,0.012393533722924075,0.46053102212052577,0.47339100746067164
19,3e-05,0.0002,20000,1.78e-07,664.2424032901359,3.6667603765001804,1.785371709932179,1.785371709932179,0.16842038421943312,1.8996417585407825,0.00804302906377627
20,3e-05,0.0002,20000,5.89e-07,664.2424032901359,3.6667603765001804,1.785371709932179,1.785371709932179,0.16842038421943312,1.8996417585407825,0.026614292800922597
21,3e-05,0.0002,20000,1e-06,664.2424032901359,3.6667603765001804,1.785371709932179,1.785371709932179,0.16842038421943312,1.8996417585407825,0.045185556538068924
22,3e-05,0.0002,110000,1.78e-07,118.82163959183805,4.181322152877322,2.7587345883842835,2.7587345883842835,0.012745831732651291,0.47294966860520754,0.04515181827651822
23,3e-05,0.0002,110000,5.89e-07,118.82163959183805,4.181322152877322,2.7587345883842835,2.7587345883842835,0.012745831732651291,0.47294966860520754,0.14940685935319795
24,3e-05,0.0002,110000,1e-06,118.82163959183805,4.181322152877322,2.7587345883842835,2.7587345883842835,0.012745831732651291,0.47294966860520754,0.2536619004298777
25,3e-05,0.0002,200000,1.78e-07,63.0538780502123,3.9337318799128265,3.869079293717604,3.869079293717604,0.007411529133773229,0.47930409201416607,0.08595807716946251
26,3e-05,0.0002,200000,5.89e-07,63.0538780502123,3.9337318799128265,3.869079293717604,3.869079293717604,0.007411529133773229,0.47930409201416607,0.28443431153265963
27,3e-05,0.0002,200000,1e-06,63.0538780502123,3.9337318799128265,3.869079293717604,3.869079293717604,0.007411529133773229,0.47930409201416607,0.4829105458958567
28,0.001015,3e-05,20000,1.78e-07,20.098595884647366,0.7283803835644389,1.742959519667735,1.742959519667735,0.407085326637952,2.1642423807278113,0.007851963821139321
29,0.001015,3e-05,20000,5.89e-07,20.098595884647366,0.7283803835644389,1.742959519667735,1.742959519667735,0.407085326637952,2.1642423807278113,0.025982060059837414
30,0.001015,3e-05,20000,1e-06,20.098595884647366,0.7283803835644389,1.742959519667735,1.742959519667735,0.407085326637952,2.1642423807278113,0.04411215629853551
31,0.001015,3e-05,110000,1.78e-07,3.6470467715603707,0.6172448693659894,2.641168273199881,2.641168273199881,0.07405179754021814,2.161401078516477,0.043227627047323185
32,0.001015,3e-05,110000,5.89e-07,3.6470467715603707,0.6172448693659894,2.641168273199881,2.641168273199881,0.07405179754021814,2.161401078516477,0.14303973219591773
33,0.001015,3e-05,110000,1e-06,3.6470467715603707,0.6172448693659894,2.641168273199881,2.641168273199881,0.07405179754021814,2.161401078516477,0.24285183734451224
34,0.001015,3e-05,200000,1.78e-07,2.006628666994773,0.6139268561769584,3.5370062589337117,3.5370062589337117,0.04071136914368219,2.1603999988958487,0.07858051848354977
35,0.001015,3e-05,200000,5.89e-07,2.006628666994773,0.6139268561769584,3.5370062589337117,3.5370062589337117,0.04071136914368219,2.1603999988958487,0.2600220527348922
36,0.001015,3e-05,200000,1e-06,2.006628666994773,0.6139268561769584,3.5370062589337117,3.5370062589337117,0.04071136914368219,2.1603999988958487,0.4414635869862346
37,0.001015,0.000115,20000,1.78e-07,23.18389714892939,0.8861273884541374,1.7300015226111292,1.7300015226111292,0.1046253659171015,2.1345467640739066,0.0077935885560027575
38,0.001015,0.000115,20000,5.89e-07,23.18389714892939,0.8861273884541374,1.7300015226111292,1.7300015226111292,0.1046253659171015,2.1345467640739066,0.02578889696340238
39,0.001015,0.000115,20000,1e-06,23.18389714892939,0.8861273884541374,1.7300015226111292,1.7300015226111292,0.1046253659171015,2.1345467640739066,0.043784205370802014
40,0.001015,0.000115,110000,1.78e-07,6.671567727398423,0.9706378145489627,2.622951407819924,2.622951407819924,0.01905231112608461,2.132242678926384,0.04292947419178324
41,0.001015,0.000115,110000,5.89e-07,6.671567727398423,0.9706378145489627,2.622951407819924,2.622951407819924,0.01905231112608461,2.132242678926384,0.14205314774696814
42,0.001015,0.000115,110000,1e-06,6.671567727398423,0.9706378145489627,2.622951407819924,2.622951407819924,0.01905231112608461,2.132242678926384,0.241176821302153
43,0.001015,0.000115,200000,1.78e-07,5.026158134695318,0.926680438410871,3.5120722278113283,3.5120722278113283,0.010471151328521867,2.130424925634124,0.0780265672179751
44,0.001015,0.000115,200000,5.89e-07,5.026158134695318,0.926680438410871,3.5120722278113283,3.5120722278113283,0.010471151328521867,2.130424925634124,0.25818903422127715
45,0.001015,0.000115,200000,1e-06,5.026158134695318,0.926680438410871,3.5120722278113283,3.5120722278113283,0.010471151328521867,2.130424925634124,0.43835150122457917
46,0.001015,0.0002,20000,1.78e-07,36.485094707018504,3.675752549731284,1.7465799280785077,1.7465799280785077,0.06131635760073612,2.189978420439003,0.007868273618090059
47,0.001015,0.0002,20000,5.89e-07,36.485094707018504,3.675752549731284,1.7465799280785077,1.7465799280785077,0.06131635760073612,2.189978420439003,0.02603602899469126
48,0.001015,0.0002,20000,1e-06,36.485094707018504,3.675752549731284,1.7465799280785077,1.7465799280785077,0.06131635760073612,2.189978420439003,0.04420378437129246
49,0.001015,0.0002,110000,1.78e-07,20.716625787347578,3.735400646497406,2.656562382306199,2.656562382306199,0.01123762434282176,2.1942474417417164,0.04347958025073173
50,0.001015,0.0002,110000,5.89e-07,20.716625787347578,3.735400646497406,2.656562382306199,2.656562382306199,0.01123762434282176,2.1942474417417164,0.1438734425150617
51,0.001015,0.0002,110000,1e-06,20.716625787347578,3.735400646497406,2.656562382306199,2.656562382306199,0.01123762434282176,2.1942474417417164,0.24426730477939168
52,0.001015,0.0002,200000,1.78e-07,19.149373987899708,3.738780455023106,3.55954045406978,3.55954045406978,0.00618476346475877,2.194627960898578,0.07908115337299312
53,0.001015,0.0002,200000,5.89e-07,19.149373987899708,3.738780455023106,3.55954045406978,3.55954045406978,0.00618476346475877,2.194627960898578,0.2616786479589492
54,0.001015,0.0002,200000,1e-06,19.149373987899708,3.738780455023106,3.55954045406978,3.55954045406978,0.00618476346475877,2.194627960898578,0.4442761425449051
