No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2Pl_C,Pl_L_Cu
25,3e-05,3e-05,168965,0.694995718856969,18.311686726653022,3.6071858916523576,3.6071858916523576,0.06133241476589096,0.5036663700409286
26,3e-05,3e-05,175172,0.6717450667825846,18.239722247019465,3.6701754151140853,3.6701754151140853,0.05888942275443641,0.5007205582126342
27,3e-05,3e-05,181379,0.6502545011202314,18.220908775866025,3.731977553528952,3.731977553528952,0.05659290611247117,0.4976652975207023
28,3e-05,3e-05,187586,0.6268103944949132,18.18410168578721,3.813991108530523,3.813991108530523,0.05503542056783493,0.499914681185098
29,3e-05,3e-05,193793,0.6080923567157214,18.162154680208605,3.875909193223471,3.875909193223471,0.05302805377041331,0.497144949256749
30,3e-05,3e-05,200000,0.5927606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086
31,3e-05,3.6e-05,20000,6.244426404835196,18.7915511994173,1.89164245157256,1.89164245157256,0.9792389642815948,1.937627657517992
32,3e-05,3.6e-05,26206,4.734380934688902,16.890945867212317,1.9430285913184053,1.9430285913184053,0.5575876148553693,1.2868739193232483
33,3e-05,3.6e-05,32413,3.799935297140286,16.16062004528403,2.0104959767438575,2.0104959767438575,0.37882171272765974,0.9896141513231116
34,3e-05,3.6e-05,38620,3.2149872962201465,15.929634794128544,2.0528925393637367,2.0528925393637367,0.27941416897881816,0.8167079432242584
35,3e-05,3.6e-05,44827,2.6982691865344512,15.723151302407778,2.1702409520617256,2.1702409520617256,0.23127198090707315,0.7397342605038
36,3e-05,3.6e-05,51034,2.4113830983564575,15.6429001578585,2.19646671135524,2.19646671135524,0.1870505545444578,0.6585921473424315
37,3e-05,3.6e-05,57241,2.1333733361267697,15.556210587423811,2.2783149933777977,2.2783149933777977,0.1622723479934931,0.6204159895244588
38,3e-05,3.6e-05,63448,1.9037234764782431,15.505106438243724,2.369557462100027,2.369557462100027,0.14486535111830445,0.5980451458544448
39,3e-05,3.6e-05,69655,1.725116784630673,15.500035282817915,2.4488071824826596,2.4488071824826596,0.13027338279046324,0.5788793792295827
40,3e-05,3.6e-05,75862,1.562575298912522,15.430756787327867,2.5505052402597954,2.5505052402597954,0.12055323234904494,0.5734469742860488
41,3e-05,3.6e-05,82068,1.4479670660295048,15.452767124201076,2.6125072301210213,2.6125072301210213,0.10950157891974496,0.556963718583558
42,3e-05,3.6e-05,88275,1.345725692267877,15.395965379245027,2.6817920558434074,2.6817920558434074,0.10080747748067798,0.546054567848863
43,3e-05,3.6e-05,94482,1.2489835269995584,15.424175854895331,2.7687530919155456,2.7687530919155456,0.09457495143838823,0.5433972102011861
44,3e-05,3.6e-05,100689,1.171652860829216,15.444247354230423,2.838788963332958,2.838788963332958,0.08819784556483135,0.5363452948529847
45,3e-05,3.6e-05,106896,1.1083296333921782,15.457308029752484,2.8957681910082744,2.8957681910082744,0.08195018220247904,0.5262224461644239
46,3e-05,3.6e-05,113103,1.0403389275563197,15.351823607492307,2.985261492263886,2.985261492263886,0.07811458878228619,0.5277751545422742
