No,L,C,fsw,RL,ESR,ESL,delta_current_percentage,delta_voltage_percentage,switching_loss,capacitor_loss,inductor_copper_loss
24,3e-05,6.777777777777778e-05,80000.0,0.079576,0.0041093284486841825,6.475573770491803e-07,2.362442404139445,1.5575530159166222,8.506537628159807,5.012913786191572,0.05641872394422024,0.5339104045842968
25,3e-05,6.777777777777778e-05,100000.0,0.079576,0.0032874627589473465,6.475573770491803e-07,2.361415541175493,1.2464611514961335,8.499617379932031,5.436923142002454,0.04371220078370468,0.5011900647052504
26,3e-05,6.777777777777778e-05,120000.0,0.079576,0.0027395522991227887,6.475573770491803e-07,2.3770622844204405,1.0319780770719305,8.49904234022827,5.901960404741824,0.0362560290964199,0.48954282464284543
27,3e-05,6.777777777777778e-05,140000.0,0.079576,0.0023481876849623905,6.475573770491803e-07,2.3839728158526095,0.8821536373526742,8.51773305510203,6.349377838829206,0.030925954525567637,0.48158501989202046
28,3e-05,6.777777777777778e-05,160000.0,0.079576,0.0020546642243420912,6.475573770491803e-07,2.400209041829059,0.766843697049855,8.512528978229966,6.825810481515152,0.02723503967525622,0.4809029347148805
29,3e-05,6.777777777777778e-05,180000.0,0.079576,0.0018263681994151923,6.475573770491803e-07,2.412111449163853,0.678448522723674,8.475841686267474,7.294996897935224,0.024332000695338,0.4807550255210015
30,3e-05,6.777777777777778e-05,200000.0,0.079576,0.0016437313794736732,6.475573770491803e-07,2.4052811624344557,0.6125111243243335,8.513159492966004,7.708445069369943,0.021704814236453075,0.4747705023135397
31,3e-05,8.666666666666667e-05,20000.0,0.079576,0.012854822326653085,5.064230769230769e-07,1.3767397488048494,10.874583726710256,8.143524875887694,2.1759096381910883,0.29584959345679757,1.6372093027448331
32,3e-05,8.666666666666667e-05,40000.0,0.079576,0.0064274111633265425,5.064230769230769e-07,2.8585929985112757,2.5908275756274035,6.891217755492882,5.033867926658416,0.14830284798521148,1.0139924309985933
33,3e-05,8.666666666666667e-05,60000.0,0.079576,0.004284940775551029,5.064230769230769e-07,2.52205911791841,1.9543155386264666,6.696091827185821,4.896426453891518,0.07025200367352619,0.6672675377833842
34,3e-05,8.666666666666667e-05,80000.0,0.079576,0.0032137055816632712,5.064230769230769e-07,2.5885928525728623,1.4274808671426136,6.652301033151831,5.492786945731408,0.05221855122769335,0.6237698244353128
35,3e-05,8.666666666666667e-05,100000.0,0.079576,0.0025709644653306176,5.064230769230769e-07,2.5571668456967256,1.1559872049527689,6.6353266842015275,5.88762094553214,0.03975477242343068,0.5783018137427359
