No,L,C,fsw,average_current
106,3e-05,4.8e-05,113103,2.4197460389331438
107,3e-05,4.8e-05,119310,2.4081860813641205
108,3e-05,4.8e-05,125517,2.418494842310087
109,3e-05,4.8e-05,131724,2.4283748660620974
110,3e-05,4.8e-05,137931,2.4327515644690996
111,3e-05,4.8e-05,144137,2.4408902770303325
112,3e-05,4.8e-05,150344,2.448282089678943
113,3e-05,4.8e-05,156551,2.445390903115872
114,3e-05,4.8e-05,162758,2.4380391331393776
115,3e-05,4.8e-05,168965,2.431726532605626
116,3e-05,4.8e-05,175172,2.4300625786685055
117,3e-05,4.8e-05,181379,2.4401189602376583
118,3e-05,4.8e-05,187586,2.456912892690032
119,3e-05,4.8e-05,193793,2.4609067082887712
120,3e-05,4.8e-05,200000,2.4450985699261407
121,3e-05,5.3e-05,20000,3.1689370930067895
122,3e-05,5.3e-05,26206,3.1758428573496245
123,3e-05,5.3e-05,32413,2.9993836098014066
124,3e-05,5.3e-05,38620,2.3858366939062647
125,3e-05,5.3e-05,44827,2.3759391280074453
126,3e-05,5.3e-05,51034,2.3750094929828407
127,3e-05,5.3e-05,57241,2.3975232462147376
128,3e-05,5.3e-05,63448,2.3810305908167027
129,3e-05,5.3e-05,69655,2.3544385613385153
130,3e-05,5.3e-05,75862,2.3759072535869703
131,3e-05,5.3e-05,82068,2.3816172362606194
132,3e-05,5.3e-05,88275,2.3685571718246967
133,3e-05,5.3e-05,94482,2.4040740714852724
134,3e-05,5.3e-05,100689,2.397929064914697
135,3e-05,5.3e-05,106896,2.4070233930569818
136,3e-05,5.3e-05,113103,2.388848551554231
137,3e-05,5.3e-05,119310,2.3898933118754204
138,3e-05,5.3e-05,125517,2.4018726986083005
139,3e-05,5.3e-05,131724,2.4118870381728272
140,3e-05,5.3e-05,137931,2.4276549960397853
141,3e-05,5.3e-05,144137,2.418415681410178
142,3e-05,5.3e-05,150344,2.4269593523236277
143,3e-05,5.3e-05,156551,2.4368215428305997
144,3e-05,5.3e-05,162758,2.4263897086946424
145,3e-05,5.3e-05,168965,2.4208652985091907
146,3e-05,5.3e-05,175172,2.425397743841289
147,3e-05,5.3e-05,181379,2.4206559404827748
148,3e-05,5.3e-05,187586,2.4275816890199726
149,3e-05,5.3e-05,193793,2.427446381653099
150,3e-05,5.3e-05,200000,2.4420655222791314
151,3e-05,5.9e-05,20000,2.9068596268704257
152,3e-05,5.9e-05,26206,2.9669981811959425
153,3e-05,5.9e-05,32413,2.8593727209014945
154,3e-05,5.9e-05,38620,2.765250200231147
155,3e-05,5.9e-05,44827,2.7689441733713367
156,3e-05,5.9e-05,51034,2.368168128636865
157,3e-05,5.9e-05,57241,2.3775366843175134
158,3e-05,5.9e-05,63448,2.368735175901833
159,3e-05,5.9e-05,69655,2.3729623061354643
160,3e-05,5.9e-05,75862,2.355859321030222
161,3e-05,5.9e-05,82068,2.375795605795031
162,3e-05,5.9e-05,88275,2.3856474127449405
163,3e-05,5.9e-05,94482,2.3605731414986453
164,3e-05,5.9e-05,100689,2.3840681821162613
165,3e-05,5.9e-05,106896,2.379993037021922
166,3e-05,5.9e-05,113103,2.3929304364374864
167,3e-05,5.9e-05,119310,2.397107786363493
168,3e-05,5.9e-05,125517,2.4049996787296846
169,3e-05,5.9e-05,131724,2.3879704862991207
170,3e-05,5.9e-05,137931,2.39506555700344
171,3e-05,5.9e-05,144137,2.3941332784315867
172,3e-05,5.9e-05,150344,2.4144209086049098
173,3e-05,5.9e-05,156551,2.416635168289014
174,3e-05,5.9e-05,162758,2.4231849822269917
175,3e-05,5.9e-05,168965,2.424748665479689
176,3e-05,5.9e-05,175172,2.4168575381427875
177,3e-05,5.9e-05,181379,2.41300290814662
178,3e-05,5.9e-05,187586,2.4100169829171523
179,3e-05,5.9e-05,193793,2.4061593010675613
180,3e-05,5.9e-05,200000,2.408546435922404
181,3e-05,6.5e-05,20000,3.01312994290746
182,3e-05,6.5e-05,26206,2.9224984374192595
183,3e-05,6.5e-05,32413,2.8398056386331856
184,3e-05,6.5e-05,38620,2.8380217260703993
185,3e-05,6.5e-05,44827,2.7424842719470366
186,3e-05,6.5e-05,51034,2.502910428464107
187,3e-05,6.5e-05,57241,2.356153798154572
188,3e-05,6.5e-05,63448,2.554641942858148
189,3e-05,6.5e-05,69655,2.3534619303393476
190,3e-05,6.5e-05,75862,2.3608359686396874
191,3e-05,6.5e-05,82068,2.366985943108102
192,3e-05,6.5e-05,88275,2.3664292489493564
193,3e-05,6.5e-05,94482,2.3685994637433114
194,3e-05,6.5e-05,100689,2.3641945423450332
195,3e-05,6.5e-05,106896,2.3558966079554007
196,3e-05,6.5e-05,113103,2.3707852033140537
197,3e-05,6.5e-05,119310,2.3865501843995816
198,3e-05,6.5e-05,125517,2.39035876590151
199,3e-05,6.5e-05,131724,2.386007996616047
200,3e-05,6.5e-05,137931,2.378005638029025
201,3e-05,6.5e-05,144137,2.4003584787854972
202,3e-05,6.5e-05,150344,2.395215922697417
203,3e-05,6.5e-05,156551,2.3882746671154096
204,3e-05,6.5e-05,162758,2.408756417579232
205,3e-05,6.5e-05,168965,2.4122193340305103
206,3e-05,6.5e-05,175172,2.4116884405301815
207,3e-05,6.5e-05,181379,2.4153220849076478
208,3e-05,6.5e-05,187586,2.409286264467388
209,3e-05,6.5e-05,193793,2.4058293885468323
210,3e-05,6.5e-05,200000,2.401932676839198
211,3e-05,7.1e-05,20000,3.1280299375269047
212,3e-05,7.1e-05,26206,2.9107588776340685
213,3e-05,7.1e-05,32413,2.640767242925358
214,3e-05,7.1e-05,38620,2.7498560868359343
215,3e-05,7.1e-05,44827,2.7010919009711545
216,3e-05,7.1e-05,51034,2.5862268222521694
217,3e-05,7.1e-05,57241,2.3612080149772954
218,3e-05,7.1e-05,63448,2.3687927642723925
