Combination,Capacitance,Total Volume
"parallel:[47.0] and series:[47.0, 220.0, 330.0, 470.0]",79.0,757.12
"parallel:[47.0] and series:[47.0, 220.0, 330.0, 680.0]",80.0,819.95
"parallel:[47.0] and series:[47.0, 220.0, 330.0, 820.0]",80.0,898.49
"parallel:[47.0] and series:[47.0, 220.0, 330.0, 1000.0]",80.0,898.49
"parallel:[47.0] and series:[47.0, 220.0, 470.0, 680.0]",81.0,882.78
"parallel:[47.0] and series:[47.0, 220.0, 470.0, 820.0]",81.0,961.32
"parallel:[47.0] and series:[47.0, 220.0, 470.0, 1000.0]",82.0,961.32
"parallel:[47.0] and series:[47.0, 220.0, 680.0, 820.0]",82.0,1024.16
"parallel:[47.0] and series:[47.0, 220.0, 680.0, 1000.0]",82.0,1024.16
"parallel:[47.0] and series:[47.0, 220.0, 820.0, 1000.0]",83.0,1102.7
"parallel:[47.0] and series:[47.0, 330.0, 470.0, 680.0]",83.0,926.77
"parallel:[47.0] and series:[47.0, 330.0, 470.0, 820.0]",83.0,1005.31
"parallel:[47.0] and series:[47.0, 330.0, 470.0, 1000.0]",83.0,1005.31
"parallel:[47.0] and series:[47.0, 330.0, 680.0, 820.0]",84.0,1068.14
"parallel:[47.0] and series:[47.0, 330.0, 680.0, 1000.0]",84.0,1068.14
"parallel:[47.0] and series:[47.0, 330.0, 820.0, 1000.0]",85.0,1146.68
"parallel:[47.0] and series:[47.0, 470.0, 680.0, 820.0]",85.0,1130.97
"parallel:[47.0] and series:[47.0, 470.0, 680.0, 1000.0]",86.0,1130.97
"parallel:[47.0] and series:[47.0, 470.0, 820.0, 1000.0]",86.0,1209.51
"parallel:[47.0] and series:[47.0, 680.0, 820.0, 1000.0]",87.0,1272.34
"parallel:[47.0] and series:[100.0, 220.0, 330.0, 470.0]",98.0,779.58
"parallel:[47.0] and series:[100.0, 220.0, 330.0, 680.0]",100.0,842.41
"parallel:[47.0] and series:[100.0, 220.0, 330.0, 820.0]",100.0,920.95
"parallel:[47.0] and series:[100.0, 220.0, 330.0, 1000.0]",101.0,920.95
"parallel:[47.0] and series:[100.0, 220.0, 470.0, 680.0]",102.0,905.25
"parallel:[47.0] and series:[100.0, 220.0, 470.0, 820.0]",103.0,983.79
"parallel:[47.0] and series:[100.0, 220.0, 470.0, 1000.0]",104.0,983.79
