No,L,C,fsw,t_d,d_cycle,average_current,delta_current,delta_current_percentage,average_voltage,delta_voltage,delta_voltage_percentage,DCR,ESR,P_ON_H,P_ON_L,P_COSS,P_L_DCR,P_D,P_G,P_CAP_ESR,P_total
18,3e-05,2.44e-05,20000,2.409e-07,0.275,3.8245881391230547,12.251169903929293,320.3265151247993,4.506069376286507,3.4224621773597295,75.95227440062656,2.703254400000000,0.045659204985380,0.0076897817032288126,0.0742240751267274,0.0124416,39.54178462438377,0.012898805958006413,0.06799999999999999,0.5710869353543783,40.28812582252611
19,3e-05,2.44e-05,20000,2.409e-07,0.3125,4.24494984115023,12.917558120756373,304.30414031125923,5.041347394263234,3.7167831522742807,73.72598755054588,2.703254400000000,0.045659204985380,0.010598356911343577,0.09031139835039208,0.0124416,48.711560698966075,0.014316517834263265,0.06799999999999999,0.634903831293428,49.5421324033555
20,3e-05,2.44e-05,20000,2.409e-07,0.35,4.562918094208912,13.434977491850576,294.43827862923416,5.721652547051963,3.963959418895285,69.27997438323452,2.703254400000000,0.045659204985380,0.01389804191682946,0.10269519867614142,0.0124416,56.28235547200127,0.015388897564528974,0.06799999999999999,0.6867852916323539,57.18156450179112
21,3e-05,2.44e-05,20000,2.628e-07,0.2,3.017196215692904,10.385002980022367,344.19382226480207,3.246905037942966,2.70690627224956,83.36881555256339,2.703254400000000,0.045659204985380,0.0034484464419344395,0.04753100238041842,0.0124416,24.609003453321456,0.011100868316777332,0.06799999999999999,0.4103555865553509,25.16188095701594
22,3e-05,2.44e-05,20000,2.628e-07,0.2375,3.3546272964592867,11.414774242392907,340.2695212800801,3.9106274434879924,3.0910443114883073,79.0421577139888,2.703254400000000,0.045659204985380,0.005134306444902056,0.057885429624736515,0.0124416,30.4211390744802,0.012342344749133007,0.06799999999999999,0.4957717228335497,31.07271447813252
23,3e-05,2.44e-05,20000,2.628e-07,0.275,3.8231910636153663,12.251171151640435,320.4436018966634,4.506348180777869,3.4231973350028415,75.96388911102608,2.703254400000000,0.045659204985380,0.007684640205062528,0.07416938328482449,0.0124416,39.512901635132216,0.014066284561253656,0.06799999999999999,0.5710870516782192,40.26035059486158
24,3e-05,2.44e-05,20000,2.628e-07,0.3125,4.245476722230345,12.917558004001908,304.2663721688178,5.041797232918414,3.7169630096544726,73.72297690565654,2.703254400000000,0.045659204985380,0.010601933924815026,0.09033287262958337,0.0124416,48.7236535591654,0.015619957956429883,0.06799999999999999,0.6349038198163582,49.55555374349259
25,3e-05,2.44e-05,20000,2.628e-07,0.35,4.563194221564115,13.43497738894968,294.42045936726765,5.721938308803548,3.964038487691911,69.27789629596317,2.703254400000000,0.045659204985380,0.013900418268849806,0.10270693415196051,0.0124416,56.28916758998323,0.01678890417997869,0.06799999999999999,0.6867852811119312,57.18979072769595
26,3e-05,2.44e-05,65000,1.752e-07,0.2,2.210484457509446,3.69033583588189,166.94692529255752,3.094845126796992,0.2911705310390449,9.408242387249654,2.703254400000000,0.014048986149348,0.0017642520943599567,0.025598700512228692,0.040435200000000004,13.208753934062896,0.017621097901482297,0.22099999999999997,0.01594393515555148,13.531117119726519
27,3e-05,2.44e-05,65000,1.752e-07,0.2375,2.6520427525171746,4.207153565452804,158.63822562662696,3.7251798125373927,0.33466526463333635,8.983868738550377,2.703254400000000,0.014048986149348,0.0030567158727515414,0.03632993638985013,0.040435200000000004,19.01288232681213,0.021141024005965906,0.22099999999999997,0.020722419790230977,19.35556762287093
28,3e-05,2.44e-05,65000,1.752e-07,0.275,3.0291701470521764,4.655124994676501,153.67657703898263,4.327221283142758,0.3708970837207115,8.57125299243624,2.703254400000000,0.014048986149348,0.004632369893305631,0.04675251207353015,0.040435200000000004,24.804715762558832,0.024147332744241128,0.22099999999999997,0.025370348427141916,25.16705352569705
29,3e-05,2.44e-05,65000,1.752e-07,0.3125,3.483359041541214,5.035373456045214,144.55510890480326,4.9599065186589595,0.401929492081619,8.103569907408076,2.703254400000000,0.014048986149348,0.0070212876031622564,0.06092793758564452,0.040435200000000004,32.80072178004156,0.027767944935549946,0.22099999999999997,0.02968432040908183,33.187558470575
30,3e-05,2.44e-05,65000,1.752e-07,0.35,3.9558118686743375,5.348797833762244,135.21365553601822,5.593419256033594,0.4274356758373967,7.641760008894809,2.703254400000000,0.014048986149348,0.01021163824323952,0.0774196679826911,0.040435200000000004,42.30173466660613,0.03153414989232435,0.22099999999999997,0.03349470097861152,42.715830023703
31,3e-05,2.44e-05,65000,1.971e-07,0.2,2.192298880743007,3.6693505252390484,167.3745563376579,3.071514098939073,0.28949872942694954,9.425277570008383,2.703254400000000,0.014048986149348,0.0017222604440801867,0.025192316097959244,0.040435200000000004,12.99231204667944,0.019660645977447325,0.22099999999999997,0.015763118493546356,13.316085587692475
32,3e-05,2.44e-05,65000,1.971e-07,0.2375,2.626188290938435,4.188717033909787,159.49797081811684,3.701265462564335,0.3332488881057878,9.00364730593801,2.703254400000000,0.014048986149348,0.002978164933380242,0.03564427872760773,0.040435200000000004,18.643980493806755,0.02355178790255043,0.22099999999999997,0.02054119871807444,18.98813112408837
33,3e-05,2.44e-05,65000,1.971e-07,0.275,3.0118444560705706,4.639363426224134,154.03728492263906,4.303955803826369,0.36963322841502144,8.588220819702757,2.703254400000000,0.014048986149348,0.004554908648965554,0.046243850705387425,0.040435200000000004,24.521780310570684,0.02701037167426368,0.22099999999999997,0.025198838737337106,24.88622348033664
34,3e-05,2.44e-05,65000,1.971e-07,0.3125,3.4658650485944364,5.022164963087686,144.9036501038723,4.936547782927585,0.40086416042583384,8.120333845692144,2.703254400000000,0.014048986149348,0.006918205075883464,0.06035022992050022,0.040435200000000004,32.47208801519431,0.03108205104904733,0.22099999999999997,0.029528792366026558,32.86140249360577
35,3e-05,2.44e-05,65000,1.971e-07,0.35,3.9385044305315935,5.338111315845946,135.53650655981218,5.570002097474753,0.42657097419861945,7.658362900653342,2.703254400000000,0.014048986149348,0.010080099640023057,0.07678607639615209,0.040435200000000004,41.93238796088661,0.035320704658228855,0.22099999999999997,0.03336099461611208,42.34937103619712
36,3e-05,2.44e-05,65000,2.19e-07,0.2,2.1741057345833172,3.6482643386055598,167.80528566632825,3.0481815727017594,0.287818579687551,9.442304299229873,2.703254400000000,0.014048986149348,0.0016809273596956227,0.024788792813133544,0.040435200000000004,12.777569200708784,0.021663876592255465,0.22099999999999997,0.01558247125270351,13.102720468726572
37,3e-05,2.44e-05,65000,2.19e-07,0.2375,2.608010717382161,4.170265567240854,159.9021637237302,3.6778454728941075,0.3317669618437167,9.02068790787581,2.703254400000000,0.014048986149348,0.002918495387429029,0.035171136063660166,0.040435200000000004,18.386779252595577,0.02598752279335454,0.22099999999999997,0.020360627697523608,18.732652234537547
38,3e-05,2.44e-05,65000,2.19e-07,0.275,2.994506974884529,4.623504250458378,154.3995151534641,4.280687641591692,0.3683598849400429,8.605156829501237,2.703254400000000,0.014048986149348,0.004478277345330113,0.04573732598140961,0.040435200000000004,24.240276900297104,0.029838764751236885,0.22099999999999997,0.02502685403831096,24.60679332241339
39,3e-05,2.44e-05,65000,2.19e-07,0.3125,3.4483610502092628,5.008860158325331,145.2533561710822,4.913186409023081,0.399789261108765,8.13706682031341,2.703254400000000,0.014048986149348,0.006816092781949459,0.05977459324061238,0.040435200000000004,32.144922319555135,0.03436119368481019,0.22099999999999997,0.02937254325240293,32.53668194251491
