No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
4573,0.0011705263157894736,0.00010157894736842105,133684.2105263158,0.042024842565398464,0.8918152115836011,2.8575523485753394,2.8575523485753394,0.01775151407166145,2.1322159962901495
4574,0.0011705263157894736,0.00010157894736842105,143157.89473684208,0.04030649268441375,0.9316880159098839,2.95228232861356,2.95228232861356,0.01658796704768137,2.1336365915259665
4575,0.0011705263157894736,0.00010157894736842105,152631.5789473684,0.03874144530889914,0.8963887810894924,3.045239384125032,3.045239384125032,0.015550112420369478,2.1324879833307753
4576,0.0011705263157894736,0.00010157894736842105,162105.26315789472,0.03741908506740637,0.9233760402722977,3.139289119217369,3.139289119217369,0.014644228328929199,2.1328955585982863
4577,0.0011705263157894736,0.00010157894736842105,171578.94736842104,0.03621344702059254,0.9291466720621678,3.2335295695557402,3.2335295695557402,0.013839858146632413,2.133532279838509
4578,0.0011705263157894736,0.00010157894736842105,181052.63157894736,0.035141463644471606,0.9089164228519002,3.3266171904763,3.3266171904763,0.013110356310754322,2.1326561061631364
4579,0.0011705263157894736,0.00010157894736842105,190526.31578947368,0.03420101419717836,0.9089494554631501,3.420567577050705,3.420567577050705,0.01245996626431274,2.13290521245266
4580,0.0011705263157894736,0.00010157894736842105,200000.0,0.03332105216974536,0.90666919820225,3.5141755571580906,3.5141755571580906,0.011868804036443107,2.132725824551456
4581,0.0011705263157894736,0.00011052631578947368,20000.0,0.19283249634319696,1.506885908993311,1.724345887798438,1.724345887798438,0.1081097224637677,2.117699003309487
4582,0.0011705263157894736,0.00011052631578947368,29473.684210526313,0.13625433643693344,1.5332962602403486,1.8172341251824464,1.8172341251824464,0.07328374173652391,2.1135295414170168
4583,0.0011705263157894736,0.00011052631578947368,38947.368421052626,0.10753809955315691,1.5549722401314736,1.912127670798896,1.912127670798896,0.0555406731022829,2.115928249650747
4584,0.0011705263157894736,0.00011052631578947368,48421.05263157895,0.08971045631444008,1.5636301617573198,2.006722323407329,2.006722323407329,0.04472546441947018,2.1179715288000955
4585,0.0011705263157894736,0.00011052631578947368,57894.73684210526,0.07803503024874794,1.5677920630993305,2.1008724121561144,2.1008724121561144,0.03743157499835062,2.1191561024639567
4586,0.0011705263157894736,0.00011052631578947368,67368.42105263157,0.06946532448671157,1.5681916520883183,2.1927326974202273,2.1927326974202273,0.03212074767323134,2.1159115855877015
4587,0.0011705263157894736,0.00011052631578947368,76842.1052631579,0.06296811148135155,1.584285228363139,2.285919156015734,2.285919156015734,0.028155755063964383,2.115441222395731
4588,0.0011705263157894736,0.00011052631578947368,86315.7894736842,0.05808821853667946,1.582622878934048,2.3793898678075474,2.3793898678075474,0.025067594218226043,2.115548893531059
4589,0.0011705263157894736,0.00011052631578947368,95789.47368421052,0.05399213350827596,1.60354923286124,2.473128798402125,2.473128798402125,0.022595110900419522,2.116122744141798
4590,0.0011705263157894736,0.00011052631578947368,105263.15789473684,0.05064348203620027,1.552709923442187,2.5662670275819996,2.5662670275819996,0.020557649085074323,2.1156775910315497
4591,0.0011705263157894736,0.00011052631578947368,114736.84210526315,0.04797682283397202,1.5921628818485585,2.660449652418134,2.660449652418134,0.018871740841300926,2.1169365483191633
4592,0.0011705263157894736,0.00011052631578947368,124210.52631578947,0.045704271140624336,1.5713472011954375,2.747266632549735,2.747266632549735,0.017349153227010104,2.1068039499927993
4593,0.0011705263157894736,0.00011052631578947368,133684.2105263158,0.04369344081825203,1.5457913170037327,2.8461424516050116,2.8461424516050116,0.016184466203564302,2.1152477834905747
4594,0.0011705263157894736,0.00011052631578947368,143157.89473684208,0.04190886431541398,1.5502214330095043,2.9395625840573194,2.9395625840573194,0.01511405191447871,2.115314107047342
4595,0.0011705263157894736,0.00011052631578947368,152631.5789473684,0.040346183014342826,1.5769776111089726,3.033009734136731,3.033009734136731,0.01417673915000308,2.1154166470538867
4596,0.0011705263157894736,0.00011052631578947368,162105.26315789472,0.0390648119304939,1.5740929610372518,3.126900461836742,3.126900461836742,0.013352729445961529,2.1161167677964885
4597,0.0011705263157894736,0.00011052631578947368,171578.94736842104,0.03783688901162431,1.5609640017287325,3.2198704302146566,3.2198704302146566,0.012612257472673841,2.1155665237318164
4598,0.0011705263157894736,0.00011052631578947368,181052.63157894736,0.03677434334525593,1.578273242667418,3.3140990117401095,3.3140990117401095,0.011958531684204866,2.1166564949233457
