Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 100.0 + 220.0 + 680.0 + 820.0,105.019599682,4671.226262641
47.0 and 100.0 + 220.0 + 680.0 + 1000.0,105.768070396,5162.100114764
47.0 and 100.0 + 220.0 + 820.0 + 1000.0,106.648194683,5554.799196463
47.0 and 100.0 + 330.0 + 470.0 + 680.0,107.137531503,3888.969691897
47.0 and 100.0 + 330.0 + 470.0 + 820.0,108.0594742,4281.668773596
47.0 and 100.0 + 330.0 + 470.0 + 1000.0,108.888990862,4772.542625719
47.0 and 100.0 + 330.0 + 680.0 + 820.0,110.611598932,4847.155451242
47.0 and 100.0 + 330.0 + 680.0 + 1000.0,111.512419503,5338.029303365
47.0 and 100.0 + 330.0 + 820.0 + 1000.0,112.574565017,5730.728385064
47.0 and 100.0 + 470.0 + 680.0 + 820.0,114.486583645,5098.482863529
47.0 and 100.0 + 470.0 + 680.0 + 1000.0,115.501371742,5589.356715653
47.0 and 100.0 + 470.0 + 820.0 + 1000.0,116.700148298,5982.055797351
47.0 and 100.0 + 680.0 + 820.0 + 1000.0,120.045483127,6547.542474998
47.0 and 220.0 + 330.0 + 470.0 + 680.0,136.493423844,4124.125756
47.0 and 220.0 + 330.0 + 470.0 + 820.0,138.550532681,4516.824837699
47.0 and 220.0 + 330.0 + 470.0 + 1000.0,140.428106741,5007.698689822
47.0 and 220.0 + 330.0 + 680.0 + 820.0,144.410269984,5082.311515345
47.0 and 220.0 + 330.0 + 680.0 + 1000.0,146.538679915,5573.185367468
47.0 and 220.0 + 330.0 + 820.0 + 1000.0,149.090092809,5965.884449167
47.0 and 220.0 + 470.0 + 680.0 + 820.0,153.800927675,5333.638927632
47.0 and 220.0 + 470.0 + 680.0 + 1000.0,156.364889752,5824.512779755
47.0 and 220.0 + 470.0 + 820.0 + 1000.0,159.45271808,6217.211861454
47.0 and 220.0 + 680.0 + 820.0 + 1000.0,168.424725223,6782.6985391
47.0 and 330.0 + 470.0 + 680.0 + 820.0,174.419975543,5509.568116233
47.0 and 330.0 + 470.0 + 680.0 + 1000.0,178.086496107,6000.441968357
47.0 and 330.0 + 470.0 + 820.0 + 1000.0,182.547735116,6393.141050055
47.0 and 330.0 + 680.0 + 820.0 + 1000.0,195.800590001,6958.627727701
47.0 and 470.0 + 680.0 + 820.0 + 1000.0,218.887461697,7209.955139989
47.0 and 47.0 + 100.0 + 220.0 + 330.0 + 470.0,71.402139711,3112.210908297
47.0 and 47.0 + 100.0 + 220.0 + 330.0 + 680.0,71.799778028,3677.697585943
47.0 and 47.0 + 100.0 + 220.0 + 330.0 + 820.0,71.955164606,4070.396667642
47.0 and 47.0 + 100.0 + 220.0 + 330.0 + 1000.0,72.092621055,4561.270519765
47.0 and 47.0 + 100.0 + 220.0 + 470.0 + 680.0,72.367641753,3929.02499823
47.0 and 47.0 + 100.0 + 220.0 + 470.0 + 820.0,72.530249196,4321.724079929
47.0 and 47.0 + 100.0 + 220.0 + 470.0 + 1000.0,72.674132194,4812.597932053
47.0 and 47.0 + 100.0 + 220.0 + 680.0 + 820.0,72.965831076,4887.210757575
47.0 and 47.0 + 100.0 + 220.0 + 680.0 + 1000.0,73.114679962,5378.084609699
47.0 and 47.0 + 100.0 + 220.0 + 820.0 + 1000.0,73.287038036,5770.783691397
47.0 and 47.0 + 100.0 + 330.0 + 470.0 + 680.0,73.381641811,4104.954186831
47.0 and 47.0 + 100.0 + 330.0 + 470.0 + 820.0,73.557553686,4497.65326853
47.0 and 47.0 + 100.0 + 330.0 + 470.0 + 1000.0,73.713284304,4988.527120654
47.0 and 47.0 + 100.0 + 330.0 + 680.0 + 820.0,74.029219166,5063.139946176
47.0 and 47.0 + 100.0 + 330.0 + 680.0 + 1000.0,74.190547297,5554.0137983
47.0 and 47.0 + 100.0 + 330.0 + 820.0 + 1000.0,74.377450273,5946.712879998
47.0 and 47.0 + 100.0 + 470.0 + 680.0 + 820.0,74.705162739,5314.467358464
47.0 and 47.0 + 100.0 + 470.0 + 680.0 + 1000.0,74.874686017,5805.341210587
47.0 and 47.0 + 100.0 + 470.0 + 820.0 + 1000.0,75.071146591,6198.040292286
