Combination,Cap(uF),Total_Volume(mm^2)
47.0 and 100.0 + 1500.0 + 1800.0,136.108910891,7308.396945789
47.0 and 100.0 + 1500.0 + 2200.0,136.918256131,7921.989260943
47.0 and 100.0 + 1500.0 + 2700.0,137.604026846,8653.391300607
47.0 and 100.0 + 1800.0 + 2200.0,137.825688073,8535.581576097
47.0 and 100.0 + 1800.0 + 2700.0,138.525423729,9266.983615761
47.0 and 100.0 + 2200.0 + 2700.0,139.379471229,9880.575930915
47.0 and 220.0 + 330.0 + 470.0,150.056478405,2553.329429205
47.0 and 220.0 + 330.0 + 680.0,157.541871921,3118.816106851
47.0 and 220.0 + 330.0 + 820.0,160.697478992,3511.51518855
47.0 and 220.0 + 330.0 + 1000.0,163.607773852,4002.389040673
47.0 and 220.0 + 330.0 + 1500.0,168.323529412,4615.981355828
47.0 and 220.0 + 330.0 + 1800.0,169.98136646,5229.573670982
47.0 and 220.0 + 330.0 + 2200.0,171.528301887,5843.165986136
47.0 and 220.0 + 330.0 + 2700.0,172.847457627,6574.5680258
47.0 and 220.0 + 470.0 + 680.0,169.794271743,3370.143519138
47.0 and 220.0 + 470.0 + 820.0,173.700537956,3762.842600837
47.0 and 220.0 + 470.0 + 1000.0,177.325182758,4253.716452961
47.0 and 220.0 + 470.0 + 1500.0,183.243851019,4867.308768115
47.0 and 220.0 + 470.0 + 1800.0,185.338040731,5480.901083269
47.0 and 220.0 + 470.0 + 2200.0,187.298507463,6094.493398423
47.0 and 220.0 + 470.0 + 2700.0,188.975183076,6825.895438087
47.0 and 220.0 + 680.0 + 820.0,185.206399279,4328.329278483
47.0 and 220.0 + 680.0 + 1000.0,189.530487805,4819.203130607
47.0 and 220.0 + 680.0 + 1500.0,196.639903974,5432.795445761
47.0 and 220.0 + 680.0 + 1800.0,199.169981917,6046.387760915
47.0 and 220.0 + 680.0 + 2200.0,201.545454545,6659.98007607
47.0 and 220.0 + 680.0 + 2700.0,203.582415878,7391.382115733
47.0 and 220.0 + 820.0 + 1000.0,194.820386758,5211.902212305
47.0 and 220.0 + 820.0 + 1500.0,202.481498506,5825.49452746
47.0 and 220.0 + 820.0 + 1800.0,205.214772949,6439.086842614
47.0 and 220.0 + 820.0 + 2200.0,207.784313725,7052.679157768
47.0 and 220.0 + 820.0 + 2700.0,209.990228885,7784.081197432
47.0 and 220.0 + 1000.0 + 1500.0,207.975609756,6316.368379583
47.0 and 220.0 + 1000.0 + 1800.0,210.907284768,6929.960694737
47.0 and 220.0 + 1000.0 + 2200.0,213.666666667,7543.553009892
47.0 and 220.0 + 1000.0 + 2700.0,216.038133182,8274.955049556
47.0 and 220.0 + 1500.0 + 1800.0,220.380035026,7543.553009892
47.0 and 220.0 + 1500.0 + 2200.0,223.470588235,8157.145325046
47.0 and 220.0 + 1500.0 + 2700.0,226.131483715,8888.54736471
47.0 and 220.0 + 1800.0 + 2200.0,227.0,8770.7376402
47.0 and 220.0 + 1800.0 + 2700.0,229.769230769,9502.139679864
47.0 and 220.0 + 2200.0 + 2700.0,233.206896552,10115.731995018
47.0 and 330.0 + 470.0 + 680.0,197.862537548,3546.072707739
47.0 and 330.0 + 470.0 + 820.0,203.801873998,3938.771789438
47.0 and 330.0 + 470.0 + 1000.0,209.391372631,4429.645641562
47.0 and 330.0 + 470.0 + 1500.0,218.684746513,5043.237956716
47.0 and 330.0 + 470.0 + 1800.0,222.023509498,5656.83027187
47.0 and 330.0 + 470.0 + 2200.0,225.173463527,6270.422587024
47.0 and 330.0 + 470.0 + 2700.0,227.886354801,7001.824626688
47.0 and 330.0 + 680.0 + 820.0,221.812844385,4504.258467084
47.0 and 330.0 + 680.0 + 1000.0,228.788723266,4995.132319208
47.0 and 330.0 + 680.0 + 1500.0,240.515005174,5608.724634362
47.0 and 330.0 + 680.0 + 1800.0,244.76733255,6222.316949516
47.0 and 330.0 + 680.0 + 2200.0,248.798561151,6835.909264671
47.0 and 330.0 + 680.0 + 2700.0,252.28562716,7567.311304334
47.0 and 330.0 + 820.0 + 1000.0,237.482894552,5387.831400906
47.0 and 330.0 + 820.0 + 1500.0,250.397474444,6001.423716061
47.0 and 330.0 + 820.0 + 1800.0,255.100487055,6615.016031215
47.0 and 330.0 + 820.0 + 2200.0,259.568735271,7228.608346369
47.0 and 330.0 + 820.0 + 2700.0,263.441521507,7960.010386033
47.0 and 330.0 + 1000.0 + 1500.0,259.903225806,6492.297568184
47.0 and 330.0 + 1000.0 + 1800.0,265.061674009,7105.889883338
47.0 and 330.0 + 1000.0 + 2200.0,269.972972973,7719.482198493
47.0 and 330.0 + 1000.0 + 2700.0,274.237949503,8450.884238157
47.0 and 330.0 + 1500.0 + 1800.0,282.154394299,7719.482198493
47.0 and 330.0 + 1500.0 + 2200.0,287.875912409,8333.074513647
47.0 and 330.0 + 1500.0 + 2700.0,292.860927152,9064.476553311
47.0 and 330.0 + 1800.0 + 2200.0,294.5,8946.666828801
47.0 and 330.0 + 1800.0 + 2700.0,299.765957447,9678.068868465
47.0 and 330.0 + 2200.0 + 2700.0,306.388646288,10291.661183619
47.0 and 470.0 + 680.0 + 820.0,254.565341359,4755.585879372
47.0 and 470.0 + 680.0 + 1000.0,264.474142624,5246.459731495
47.0 and 470.0 + 680.0 + 1500.0,281.471290228,5860.052046649
47.0 and 470.0 + 680.0 + 1800.0,287.743220623,6473.644361803
47.0 and 470.0 + 680.0 + 2200.0,293.743402583,7087.236676958
47.0 and 470.0 + 680.0 + 2700.0,298.976873211,7818.638716622
47.0 and 470.0 + 820.0 + 1000.0,277.034618599,5639.158813194
47.0 and 470.0 + 820.0 + 1500.0,296.138079641,6252.751128348
47.0 and 470.0 + 820.0 + 1800.0,303.2310704,6866.343443502
47.0 and 470.0 + 820.0 + 2200.0,310.039027114,7479.935758656
47.0 and 470.0 + 820.0 + 2700.0,315.994933306,8211.33779832
47.0 and 470.0 + 1000.0 + 1500.0,310.551401869,6743.624980471
47.0 and 470.0 + 1000.0 + 1800.0,318.501925546,7357.217295626
47.0 and 470.0 + 1000.0 + 2200.0,326.157667387,7970.80961078
47.0 and 470.0 + 1000.0 + 2700.0,332.875197116,8702.211650444
47.0 and 470.0 + 1500.0 + 1800.0,345.517995766,7970.80961078
47.0 and 470.0 + 1500.0 + 2200.0,354.799166501,8584.401925934
47.0 and 470.0 + 1500.0 + 2700.0,362.986055777,9315.803965598
47.0 and 470.0 + 1800.0 + 2200.0,365.698630137,9197.994241088
47.0 and 470.0 + 1800.0 + 2700.0,374.483870968,9929.396280752
47.0 and 470.0 + 2200.0 + 2700.0,385.687371103,10542.988595906
47.0 and 680.0 + 820.0 + 1000.0,317.99533437,6204.64549084
47.0 and 680.0 + 820.0 + 1500.0,344.90568457,6818.237805994
47.0 and 680.0 + 820.0 + 1800.0,355.104125737,7431.830121148
47.0 and 680.0 + 820.0 + 2200.0,365.000829531,8045.422436303
47.0 and 680.0 + 820.0 + 2700.0,373.747113465,8776.824475966
47.0 and 680.0 + 1000.0 + 1500.0,365.75,7309.111658118
47.0 and 680.0 + 1000.0 + 1800.0,377.453563715,7922.703973272
47.0 and 680.0 + 1000.0 + 2200.0,388.864716636,8536.296288426
47.0 and 680.0 + 1000.0 + 2700.0,398.993865031,9267.69832809
47.0 and 680.0 + 1500.0 + 1800.0,418.359223301,8536.296288426
47.0 and 680.0 + 1500.0 + 2200.0,432.83218707,9149.88860358
47.0 and 680.0 + 1500.0 + 2700.0,445.783666377,9881.290643244
47.0 and 680.0 + 1800.0 + 2200.0,450.113772455,9763.480918735
47.0 and 680.0 + 1800.0 + 2700.0,464.272727273,10494.882958398
47.0 and 680.0 + 2200.0 + 2700.0,482.634167386,11108.475273553
47.0 and 820.0 + 1000.0 + 1500.0,393.478873239,7701.810739816
47.0 and 820.0 + 1000.0 + 1800.0,407.3515625,8315.40305497
47.0 and 820.0 + 1000.0 + 2200.0,420.963515755,8928.995370125
47.0 and 820.0 + 1000.0 + 2700.0,433.117893268,9660.397409789
47.0 and 820.0 + 1500.0 + 1800.0,456.544950055,8928.995370125
47.0 and 820.0 + 1500.0 + 2200.0,474.218187559,9542.587685279
47.0 and 820.0 + 1500.0 + 2700.0,490.154523619,10273.989724943
47.0 and 820.0 + 1800.0 + 2200.0,495.508287293,10156.180000433
47.0 and 820.0 + 1800.0 + 2700.0,513.105263158,10887.582040097
47.0 and 820.0 + 2200.0 + 2700.0,536.13436433,11501.174355251
47.0 and 1000.0 + 1500.0 + 1800.0,497.0,9419.869222248
47.0 and 1000.0 + 1500.0 + 2200.0,518.428571429,10033.461537402
47.0 and 1000.0 + 1500.0 + 2700.0,537.909090909,10764.863577066
47.0 and 1000.0 + 1800.0 + 2200.0,544.487437186,10647.053852557
47.0 and 1000.0 + 1800.0 + 2700.0,566.230769231,11378.455892221
47.0 and 1000.0 + 2200.0 + 2700.0,594.970479705,11992.048207375
47.0 and 1500.0 + 1800.0 + 2200.0,643.385542169,11260.646167711
47.0 and 1500.0 + 1800.0 + 2700.0,674.906976744,11992.048207375
47.0 and 1500.0 + 2200.0 + 2700.0,717.428893905,12605.640522529
47.0 and 1800.0 + 2200.0 + 2700.0,771.390243902,13219.232837683
47.0 and 47.0 + 100.0 + 220.0 + 330.0,72.738466645,2106.901259148
47.0 and 47.0 + 100.0 + 220.0 + 470.0,73.350662589,2358.228671436
47.0 and 47.0 + 100.0 + 220.0 + 680.0,73.814943633,2923.715349082
47.0 and 47.0 + 100.0 + 220.0 + 820.0,73.996701351,3316.41443078
47.0 and 47.0 + 100.0 + 220.0 + 1000.0,74.157640385,3807.288282904
47.0 and 47.0 + 100.0 + 220.0 + 1500.0,74.405732056,4420.880598058
47.0 and 47.0 + 100.0 + 220.0 + 1800.0,74.489439636,5034.472913212
47.0 and 47.0 + 100.0 + 220.0 + 2200.0,74.565982405,5648.065228367
47.0 and 47.0 + 100.0 + 220.0 + 2700.0,74.630094416,6379.46726803
