Combination,Cap(uF),Total_Volume(mm^2)
330.0 + 2200.0,286.95652173913044,5049.128442941346
330.0 + 2700.0,294.05940594059405,5780.53048260522
470.0 + 680.0,277.9130434782609,2576.1059759436303
470.0 + 820.0,298.7596899224806,2968.8050576423548
470.0 + 1000.0,319.7278911564626,3459.67890976576
470.0 + 1500.0,357.8680203045685,4073.271224920016
470.0 + 1800.0,372.6872246696035,4686.863540074272
470.0 + 2200.0,387.26591760299624,5300.45585522853
470.0 + 2700.0,400.3154574132492,6031.857894892403
680.0 + 820.0,371.7333333333333,3534.2917352885174
680.0 + 1000.0,404.76190476190476,4025.165587411923
680.0 + 1500.0,467.88990825688074,4638.757902566179
680.0 + 1800.0,493.54838709677415,5252.3502177204355
680.0 + 2200.0,519.4444444444445,5865.942532874693
680.0 + 2700.0,543.1952662721894,6597.344572538566
820.0 + 1000.0,450.5494505494505,4417.864669110647
820.0 + 1500.0,530.1724137931034,5031.456984264903
820.0 + 1800.0,563.3587786259542,5645.049299419159
820.0 + 2200.0,597.3509933774834,6258.6416145734165
820.0 + 2700.0,628.9772727272727,6990.04365423729
1000.0 + 1500.0,600.0,5522.330836388308
1000.0 + 1800.0,642.8571428571428,6135.923151542565
1000.0 + 2200.0,687.5,6749.515466696822
1000.0 + 2700.0,729.7297297297298,7480.917506360695
1500.0 + 1800.0,818.1818181818182,6749.515466696821
1500.0 + 2200.0,891.8918918918919,7363.1077818510785
1500.0 + 2700.0,964.2857142857142,8094.509821514952
1800.0 + 2200.0,990.0,7976.700097005334
47.0 + 100.0 + 220.0,27.915766738660906,1136.934527352512
47.0 + 100.0 + 330.0,29.148656267618872,1312.8637159535406
47.0 + 100.0 + 470.0,29.936305732484076,1564.191128240724
47.0 + 100.0 + 680.0,30.53697687750812,2129.6778058868867
47.0 + 100.0 + 820.0,30.772916001277547,2522.376887585611
47.0 + 100.0 + 1000.0,30.98220171390903,3013.250739709016
47.0 + 100.0 + 1500.0,31.30550621669627,3626.8430548632723
47.0 + 100.0 + 1800.0,31.414779056813966,4240.435370017529
47.0 + 100.0 + 2200.0,31.51478207863456,4854.027685171786
47.0 + 100.0 + 2700.0,31.59860557768925,5585.42972483566
47.0 + 220.0 + 330.0,34.659217877094974,1548.0197800563706
47.0 + 220.0 + 470.0,35.77854671280277,1799.347192343554
47.0 + 220.0 + 680.0,36.63991662324127,2364.8338699897167
47.0 + 220.0 + 820.0,36.980111653872996,2757.532951688441
47.0 + 220.0 + 1000.0,37.28275762601861,3248.406803811846
47.0 + 220.0 + 1500.0,37.75192288968942,3861.9991189661023
47.0 + 220.0 + 1800.0,37.910946347822545,4475.591434120359
47.0 + 220.0 + 2200.0,38.056680161943326,5089.183749274616
47.0 + 220.0 + 2700.0,38.17898364422078,5820.58578893849
47.0 + 330.0 + 470.0,37.82926829268293,1975.2763809445823
47.0 + 330.0 + 680.0,38.79354103063965,2540.7630585907455
47.0 + 330.0 + 820.0,39.17511165870938,2933.462140289469
47.0 + 330.0 + 1000.0,39.514916817405926,3424.3359924128745
47.0 + 330.0 + 1500.0,40.04234006299376,4037.928307567131
47.0 + 330.0 + 1800.0,40.22129057354022,4651.520622721388
47.0 + 330.0 + 2200.0,40.38536648873845,5265.112937875644
47.0 + 330.0 + 2700.0,40.5231224780097,5996.5149775395175
47.0 + 470.0 + 680.0,40.20125786163522,2792.090470877929
47.0 + 470.0 + 820.0,40.611169652265545,3184.7895525766526
47.0 + 470.0 + 1000.0,40.976460331299045,3675.663404700058
47.0 + 470.0 + 1500.0,41.54390100176783,4289.2557198543145
47.0 + 470.0 + 1800.0,41.73655648741983,4902.848035008571
47.0 + 470.0 + 2200.0,41.9132549655452,5516.440350162828
47.0 + 470.0 + 2700.0,42.06165064633742,6247.842389826701
47.0 + 680.0 + 820.0,41.72456615188664,3750.2762302228157
47.0 + 680.0 + 1000.0,42.11025613998103,4241.150082346221
47.0 + 680.0 + 1500.0,42.70976248596833,4854.742397500477
47.0 + 680.0 + 1800.0,42.913409321477594,5468.334712654734
47.0 + 680.0 + 2200.0,43.10023538642606,6081.927027808991
47.0 + 680.0 + 2700.0,43.25717092928827,6813.329067472864
47.0 + 820.0 + 1000.0,42.56024029860635,4633.849164044945
47.0 + 820.0 + 1500.0,43.17272075516788,5247.441479199201
47.0 + 820.0 + 1800.0,43.38081718923922,5861.033794353458
47.0 + 820.0 + 2200.0,43.57174424699631,6474.626109507715
47.0 + 820.0 + 2700.0,43.73213865447332,7206.028149171589
47.0 + 1000.0 + 1500.0,43.58578052550232,5738.315331322607
47.0 + 1000.0 + 1800.0,43.79788776144129,6351.907646476863
47.0 + 1000.0 + 2200.0,43.99251191286589,6965.49996163112
47.0 + 1000.0 + 2700.0,44.15602491388009,7696.902001294993
47.0 + 1500.0 + 1800.0,44.44677944730483,6965.49996163112
47.0 + 1500.0 + 2200.0,44.647226460174444,7579.092276785376
