Combination,Cap(uF),Total_Volume(mm^2)
220.0 + 330.0 + 1000.0,116.6077738515901,3786.4045457390985
220.0 + 470.0 + 680.0,122.79427174292701,3154.1590242041525
220.0 + 470.0 + 820.0,126.7005379557681,3546.8581059028766
220.0 + 470.0 + 1000.0,130.32518275775146,4037.731958026282
220.0 + 680.0 + 820.0,138.20639927895448,4112.344783549039
220.0 + 680.0 + 1000.0,142.53048780487805,4603.218635672445
220.0 + 820.0 + 1000.0,147.82038675843987,4995.917717371169
330.0 + 470.0 + 680.0,150.86253754827635,3330.088212805181
330.0 + 470.0 + 820.0,156.80187399827395,3722.787294503905
330.0 + 470.0 + 1000.0,162.3913726311381,4213.66114662731
330.0 + 680.0 + 820.0,174.81284438533154,4288.2739721500675
330.0 + 680.0 + 1000.0,181.7887232663642,4779.147824273473
330.0 + 820.0 + 1000.0,190.48289455159792,5171.846905972197
470.0 + 680.0 + 820.0,207.56534135910027,4539.601384437251
470.0 + 680.0 + 1000.0,217.4741426238432,5030.475236560656
470.0 + 820.0 + 1000.0,230.03461859854363,5423.174318259381
680.0 + 820.0 + 1000.0,270.99533437014,5988.660995905544
47.0 + 100.0 + 220.0 + 330.0,25.738466644540328,1890.9167642140624
47.0 + 100.0 + 220.0 + 470.0,26.350662589194698,2142.244176501246
47.0 + 100.0 + 220.0 + 680.0,26.814943633395877,2707.7308541474085
47.0 + 100.0 + 220.0 + 820.0,26.99670135129972,3100.429935846133
47.0 + 100.0 + 220.0 + 1000.0,27.157640384514366,3591.3037879695385
47.0 + 100.0 + 330.0 + 470.0,27.446469651389133,2318.173365102274
47.0 + 100.0 + 330.0 + 680.0,27.950537714197882,2883.6600427484373
47.0 + 100.0 + 330.0 + 820.0,28.148072734998852,3276.3591244471613
47.0 + 100.0 + 330.0 + 1000.0,28.323076642135828,3767.2329765705667
47.0 + 100.0 + 470.0 + 680.0,28.673963753813023,3134.9874550356208
47.0 + 100.0 + 470.0 + 820.0,28.881894484412467,3527.686536734345
47.0 + 100.0 + 470.0 + 1000.0,29.06617192331478,4018.5603888577502
