L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
3e-05,6.578947368421052e-05,57894.73684210526,2.151011913160433,8.832065241910476,2.2725765227091737,2.2725765227091737,0.086664104036535,0.6163130728153253
3e-05,6.578947368421052e-05,67368.42105263157,1.8347153426777143,8.806077718113736,2.390450712286288,2.390450712286288,0.0724345061681465,0.5776810073545054
3e-05,6.578947368421052e-05,76842.1052631579,1.6212247789159746,8.782029996102736,2.4721156555885884,2.4721156555885884,0.0609152770800033,0.5411034488379809
3e-05,6.578947368421052e-05,86315.7894736842,1.4391643635475082,8.741406598715864,2.580128097048032,2.580128097048032,0.053465973186504,0.5233524799930834
3e-05,6.578947368421052e-05,95789.47368421052,1.2939720013611955,8.74428774513209,2.687205681931617,2.687205681931617,0.047703669347065,0.510812930898911
3e-05,6.578947368421052e-05,105263.15789473684,1.1804674226690228,8.712697844035503,2.7817077843005418,2.7817077843005418,0.0427552151282359,0.497830195625764
3e-05,6.578947368421052e-05,114736.84210526316,1.0819926850077692,8.763500656946874,2.885765475275633,2.885765475275633,0.0389824790627312,0.4905199737235546
3e-05,6.578947368421052e-05,124210.52631578948,0.9904810435339788,8.716320875266643,3.014373411216077,3.014373411216077,0.0364141772098723,0.4923364267006104
3e-05,6.578947368421052e-05,133684.2105263158,0.9231591983487536,8.765460154421671,3.1072204374190595,3.1072204374190595,0.0334693393149922,0.4845206826775209
3e-05,6.578947368421052e-05,143157.89473684208,0.8577635190220184,8.751506023954246,3.2255557843812444,3.2255557843812444,0.0314378006598488,0.4850548510067594
3e-05,6.578947368421052e-05,152631.5789473684,0.8060563238834925,8.772766043596885,3.322094460749368,3.322094460749368,0.029287205107706,0.4800710837740474
3e-05,6.578947368421052e-05,162105.26315789472,0.7549204155759114,8.724695762638218,3.442991846737961,3.442991846737961,0.0277929589022394,0.4822489757777817
3e-05,6.578947368421052e-05,171578.94736842104,0.7115102500954994,8.724394615866782,3.554871583213062,3.554871583213062,0.0263294252894378,0.4822630207252567
3e-05,6.578947368421052e-05,181052.63157894736,0.6730294685793569,8.719019795360863,3.6652748204254073,3.6652748204254073,0.0250012783040323,0.4821337276442353
3e-05,6.578947368421052e-05,190526.31578947368,0.6417862150826874,8.750004423189555,3.7560342705998817,3.7560342705998817,0.0235637187077325,0.4773543848580252
3e-05,6.578947368421052e-05,200000.0,0.6128288100766074,8.750910071948939,3.850431074635327,3.850431074635327,0.0223174346599831,0.4738517881500876
3e-05,7.473684210526316e-05,20000.0,5.081274791739417,9.52345148825458,2.32791093977313,2.32791093977313,0.5705606028712153,2.17635463358654
3e-05,7.473684210526316e-05,29473.684210526317,3.880721803369277,8.30815541793141,2.160598000041314,2.160598000041314,0.2404526204666231,1.2072632538102712
3e-05,7.473684210526316e-05,38947.36842105263,2.860850868379119,7.946983695669344,2.324247245744896,2.324247245744896,0.1591703135586013,0.9428483212476532
3e-05,7.473684210526316e-05,48421.05263157895,2.5840387814488746,7.847847616587019,2.167608743148728,2.167608743148728,0.09685499088661,0.6898271804526774
3e-05,7.473684210526316e-05,57894.73684210526,1.9998541810985375,7.782075302189067,2.4553022273815146,2.4553022273815146,0.0871225110021387,0.6922586276402647
