L,C,fsw,delta_current_percentage,delta_voltage_percentage,switching_loss,capacitor_loss,inductor_copper_loss
0.0001055555555555,200000.0,0.079576,0.6250746508423565,5.598827338342253,7.618728424893812,0.0136188298525635,0.464366054927303
0.0001244444444444,20000.0,0.079576,6.271576586456208,5.755767005866308,3.775438737893268,0.2828015953234313,1.9424577599751984
0.0001244444444444,40000.0,0.079576,4.311656196016413,5.807777278017795,3.0381339470844053,0.0509608504231614,0.6038103753389562
0.0001244444444444,60000.0,0.079576,1.8599721651217211,4.747649449946781,5.17247595613874,0.0538768690730882,0.7276880071785243
0.0001244444444444,80000.0,0.079576,1.404830573967235,4.720581874514298,5.614610335404025,0.0378798785866241,0.6487670855726642
0.0001244444444444,100000.0,0.079576,1.1765178754810144,4.707628594189248,5.822038827171578,0.0271027485444667,0.5675207350432386
0.0001244444444444,120000.0,0.079576,0.9814078701729144,4.701903024341767,6.275572185224679,0.0222242508039321,0.5491702293266947
0.0001244444444444,140000.0,0.079576,0.8986207052996653,4.823125258033137,6.305326611892261,0.0166174602229902,0.4760157285776358
0.0001244444444444,160000.0,0.079576,0.7892793151196129,4.772488551947824,6.711226221188783,0.0143504517661551,0.4661820717213469
0.0001244444444444,180000.0,0.079576,0.7007068886486418,4.795649126455427,7.150590374067653,0.0127418050892808,0.4630480306107768
0.0001244444444444,200000.0,0.079576,0.631530865485309,4.757868175579857,7.571468956874474,0.0114108948201399,0.4589232238977642
0.0001433333333333,20000.0,0.079576,6.089225115588139,5.02214971326806,3.889930298549853,0.2516776040098564,1.971511014677312
0.0001433333333333,40000.0,0.079576,4.446697671347217,5.085101354810076,2.951003390042516,0.042773582801237,0.5916994408834576
0.0001433333333333,60000.0,0.079576,2.437583899936246,5.190569959619841,3.955661437277117,0.029598095060271,0.4939210327290548
0.0001433333333333,80000.0,0.079576,1.4256822621352905,4.128113285364676,5.546934677448193,0.0321544698288038,0.6358961038659988
0.0001433333333333,100000.0,0.079576,1.17192181504317,4.116183904625983,5.862052822718288,0.0238395497776855,0.5748845265117032
0.0001433333333333,120000.0,0.079576,0.9920760296914024,4.112394355394902,6.228316505609121,0.0190160970544474,0.5418092806554935
0.0001433333333333,140000.0,0.079576,0.8750278847358781,4.1097959470273215,6.49848506547761,0.0152986236270018,0.5039751306332864
0.0001433333333333,160000.0,0.079576,0.7904577715227578,4.1994633067417455,6.727263604058092,0.0125175624886208,0.4684818261646304
0.0001433333333333,180000.0,0.079576,0.705568040367139,4.181408193952463,7.131018688186704,0.0110032696529095,0.4607687406015864
0.0001433333333333,200000.0,0.079576,0.6338947819468136,4.188370863047307,7.577060815983273,0.0099215572420343,0.4597122278405535
0.0001622222222222,20000.0,0.079576,6.420655065041951,4.476078517839324,3.6906430501510026,0.2130273634851848,1.9246026007878008
0.0001622222222222,40000.0,0.079576,2.9558492944631287,5.282875321077937,4.445640883172668,0.0653374117639367,0.87643054125389
0.0001622222222222,60000.0,0.079576,2.4619351148281887,4.753633695795948,3.923825299609025,0.0258089426058105,0.4892344435306711
0.0001622222222222,80000.0,0.079576,1.6577418611719952,4.761259718899508,4.780975672046738,0.0216232612389667,0.4964919662934203
0.0001622222222222,100000.0,0.079576,1.166831893888215,3.8641804356756153,5.902580771019862,0.0213416778747264,0.582342237510108
0.0001622222222222,120000.0,0.079576,0.9928008902639226,3.821853932498658,6.241469542431862,0.0168704132338227,0.5441603870605921
0.0001622222222222,140000.0,0.079576,0.8760003540460217,3.800985163612933,6.511717216562819,0.0135708501748416,0.5060970981180692
0.0001622222222222,160000.0,0.079576,0.7643593225855041,3.8146726606956456,6.980965749713706,0.0118906450029888,0.5028618946152383
0.0001622222222222,180000.0,0.079576,0.7067965000161279,3.78191586282146,7.145382743700155,0.0097605605908918,0.462691093840232
0.0001622222222222,200000.0,0.079576,0.6379515965264811,3.802646586347575,7.559318533945525,0.0087259038355926,0.4577522076653423
0.0001811111111111,20000.0,0.079576,6.6807930522741605,4.0307919834683705,3.5482929984800857,0.1851001295460127,1.892915965818295
0.0001811111111111,40000.0,0.079576,3.062740414136865,4.805836783784102,4.296730907698828,0.0556178560892848,0.8440993866565788
0.0001811111111111,60000.0,0.079576,2.452300161000331,4.387812753375798,3.94709216731712,0.0233413680363663,0.4937557969148142
0.0001811111111111,80000.0,0.079576,1.7167282669894328,4.40186867168028,4.628010513773406,0.0182620291134141,0.4715091073888215
0.0001811111111111,100000.0,0.079576,1.3092534287973585,4.394284689692002,5.2756841639564405,0.015456589552441,0.4774914551473404
0.0001811111111111,120000.0,0.079576,1.095046702742983,4.3615298638206,5.677476858286234,0.012595538704384,0.4576625338455801
0.0001811111111111,140000.0,0.079576,0.8739319868181296,3.668951511590018,6.551529145275117,0.0123004500935806,0.5121592243883721
