Combination,Cap(uF),Vol(mm^3)
100.0 + 220.0 + 330.0 + 820.0,5.320e-05,3638.427677773385
100.0 + 220.0 + 330.0 + 1000.0,5.383e-05,4129.30152989679
100.0 + 220.0 + 470.0 + 680.0,5.512e-05,3497.0560083618443
100.0 + 220.0 + 470.0 + 820.0,5.589e-05,3889.755090060568
100.0 + 220.0 + 470.0 + 1000.0,5.658e-05,4380.628942183974
100.0 + 220.0 + 680.0 + 820.0,5.802e-05,4455.241767706732
100.0 + 220.0 + 680.0 + 1000.0,5.877e-05,4946.115619830137
100.0 + 220.0 + 820.0 + 1000.0,5.965e-05,5338.8147015288605
100.0 + 330.0 + 470.0 + 680.0,6.014e-05,3672.985196962873
100.0 + 330.0 + 470.0 + 820.0,6.106e-05,4065.684278661597
100.0 + 330.0 + 470.0 + 1000.0,6.189e-05,4556.5581307850025
100.0 + 330.0 + 680.0 + 820.0,6.361e-05,4631.17095630776
100.0 + 330.0 + 680.0 + 1000.0,6.451e-05,5122.044808431165
100.0 + 330.0 + 820.0 + 1000.0,6.557e-05,5514.743890129889
100.0 + 470.0 + 680.0 + 820.0,6.749e-05,4882.498368594943
100.0 + 470.0 + 680.0 + 1000.0,6.850e-05,5373.372220718349
100.0 + 470.0 + 820.0 + 1000.0,6.970e-05,5766.071302417073
100.0 + 680.0 + 820.0 + 1000.0,7.305e-05,6331.557980063235
220.0 + 330.0 + 470.0 + 680.0,8.949e-05,3908.141261065703
220.0 + 330.0 + 470.0 + 820.0,9.155e-05,4300.840342764427
220.0 + 330.0 + 470.0 + 1000.0,9.343e-05,4791.7141948878325
220.0 + 330.0 + 680.0 + 820.0,9.741e-05,4866.32702041059
220.0 + 330.0 + 680.0 + 1000.0,9.954e-05,5357.200872533995
220.0 + 330.0 + 820.0 + 1000.0,1.021e-04,5749.899954232719
220.0 + 470.0 + 680.0 + 820.0,1.068e-04,5117.654432697773
220.0 + 470.0 + 680.0 + 1000.0,1.094e-04,5608.528284821179
220.0 + 470.0 + 820.0 + 1000.0,1.125e-04,6001.227366519903
220.0 + 680.0 + 820.0 + 1000.0,1.214e-04,6566.714044166065
330.0 + 470.0 + 680.0 + 820.0,1.274e-04,5293.5836212988015
330.0 + 470.0 + 680.0 + 1000.0,1.311e-04,5784.457473422207
330.0 + 470.0 + 820.0 + 1000.0,1.355e-04,6177.156555120931
330.0 + 680.0 + 820.0 + 1000.0,1.488e-04,6742.643232767094
470.0 + 680.0 + 820.0 + 1000.0,1.719e-04,6993.970645054277
47.0 + 100.0 + 220.0 + 330.0 + 470.0,2.440e-05,2896.226413362796
47.0 + 100.0 + 220.0 + 330.0 + 680.0,2.480e-05,3461.713091008959
47.0 + 100.0 + 220.0 + 330.0 + 820.0,2.496e-05,3854.412172707683
