Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH),Vol(mm^3)
T130-75-327,33.0,19.8,11.1,81.0,128,1.327e-03,6076.041253972489
T130-75-328,33.0,19.8,11.1,81.0,129,1.348e-03,6076.041253972489
T130-75-329,33.0,19.8,11.1,81.0,130,1.369e-03,6076.041253972489
T130-75-330,33.0,19.8,11.1,81.0,131,1.390e-03,6076.041253972489
T130-75-331,33.0,19.8,11.1,81.0,132,1.411e-03,6076.041253972489
T130-75-332,33.0,19.8,11.1,81.0,133,1.433e-03,6076.041253972489
T130-75-333,33.0,19.8,11.1,81.0,134,1.454e-03,6076.041253972489
T130-75-334,33.0,19.8,11.1,81.0,135,1.476e-03,6076.041253972489
T130-75-335,33.0,19.8,11.1,81.0,136,1.498e-03,6076.041253972489
T130-75-336,33.0,19.8,11.1,81.0,137,1.520e-03,6076.041253972489
T130-75-337,33.0,19.8,11.1,81.0,138,1.543e-03,6076.041253972489
T130-75-338,33.0,19.8,11.1,81.0,139,1.565e-03,6076.041253972489
T130-75-339,33.0,19.8,11.1,81.0,140,1.588e-03,6076.041253972489
T130-75-340,33.0,19.8,11.1,81.0,141,1.610e-03,6076.041253972489
T130-75-341,33.0,19.8,11.1,81.0,142,1.633e-03,6076.041253972489
T130-75-342,33.0,19.8,11.1,81.0,143,1.656e-03,6076.041253972489
T130-75-343,33.0,19.8,11.1,81.0,144,1.680e-03,6076.041253972489
T130-75-344,33.0,19.8,11.1,81.0,145,1.703e-03,6076.041253972489
T130-75-345,33.0,19.8,11.1,81.0,146,1.727e-03,6076.041253972489
T130-75-346,33.0,19.8,11.1,81.0,147,1.750e-03,6076.041253972489
T130-75-347,33.0,19.8,11.1,81.0,148,1.774e-03,6076.041253972489
T130-75-348,33.0,19.8,11.1,81.0,149,1.798e-03,6076.041253972489
T130-75-349,33.0,19.8,11.1,81.0,150,1.822e-03,6076.041253972489
T130-75-350,33.0,19.8,11.1,81.0,151,1.847e-03,6076.041253972489
T130-75-351,33.0,19.8,11.1,81.0,152,1.871e-03,6076.041253972489
T130-75-352,33.0,19.8,11.1,81.0,153,1.896e-03,6076.041253972489
T130-75-353,33.0,19.8,11.1,81.0,154,1.921e-03,6076.041253972489
T130-75-354,33.0,19.8,11.1,81.0,155,1.946e-03,6076.041253972489
T130-75-355,33.0,19.8,11.1,81.0,156,1.971e-03,6076.041253972489
T130-75-356,33.0,19.8,11.1,81.0,157,1.997e-03,6076.041253972489
T141-75-219,35.9,22.4,10.5,75.0,20,3.000e-05,6490.550057270598
T141-75-220,35.9,22.4,10.5,75.0,21,3.308e-05,6490.550057270598
T141-75-221,35.9,22.4,10.5,75.0,22,3.630e-05,6490.550057270598
T141-75-222,35.9,22.4,10.5,75.0,23,3.967e-05,6490.550057270598
T141-75-223,35.9,22.4,10.5,75.0,24,4.320e-05,6490.550057270598
T141-75-224,35.9,22.4,10.5,75.0,25,4.688e-05,6490.550057270598
T141-75-225,35.9,22.4,10.5,75.0,26,5.070e-05,6490.550057270598
T141-75-226,35.9,22.4,10.5,75.0,27,5.467e-05,6490.550057270598
T141-75-227,35.9,22.4,10.5,75.0,28,5.880e-05,6490.550057270598
T141-75-228,35.9,22.4,10.5,75.0,29,6.308e-05,6490.550057270598
T141-75-229,35.9,22.4,10.5,75.0,30,6.750e-05,6490.550057270598
T141-75-230,35.9,22.4,10.5,75.0,31,7.208e-05,6490.550057270598
T141-75-231,35.9,22.4,10.5,75.0,32,7.680e-05,6490.550057270598
T141-75-232,35.9,22.4,10.5,75.0,33,8.167e-05,6490.550057270598
T141-75-233,35.9,22.4,10.5,75.0,34,8.670e-05,6490.550057270598
T141-75-234,35.9,22.4,10.5,75.0,35,9.187e-05,6490.550057270598
T141-75-235,35.9,22.4,10.5,75.0,36,9.720e-05,6490.550057270598
T141-75-236,35.9,22.4,10.5,75.0,37,1.027e-04,6490.550057270598
T141-75-237,35.9,22.4,10.5,75.0,38,1.083e-04,6490.550057270598
T141-75-238,35.9,22.4,10.5,75.0,39,1.141e-04,6490.550057270598
T141-75-239,35.9,22.4,10.5,75.0,40,1.200e-04,6490.550057270598
T141-75-240,35.9,22.4,10.5,75.0,41,1.261e-04,6490.550057270598
T141-75-241,35.9,22.4,10.5,75.0,42,1.323e-04,6490.550057270598
T141-75-242,35.9,22.4,10.5,75.0,43,1.387e-04,6490.550057270598
T141-75-243,35.9,22.4,10.5,75.0,44,1.452e-04,6490.550057270598
T141-75-244,35.9,22.4,10.5,75.0,45,1.519e-04,6490.550057270598
T141-75-245,35.9,22.4,10.5,75.0,46,1.587e-04,6490.550057270598
T141-75-246,35.9,22.4,10.5,75.0,47,1.657e-04,6490.550057270598
T141-75-247,35.9,22.4,10.5,75.0,48,1.728e-04,6490.550057270598
T141-75-248,35.9,22.4,10.5,75.0,49,1.801e-04,6490.550057270598
T141-75-249,35.9,22.4,10.5,75.0,50,1.875e-04,6490.550057270598
T141-75-250,35.9,22.4,10.5,75.0,51,1.951e-04,6490.550057270598
T141-75-251,35.9,22.4,10.5,75.0,52,2.028e-04,6490.550057270598
T141-75-252,35.9,22.4,10.5,75.0,53,2.107e-04,6490.550057270598
T141-75-253,35.9,22.4,10.5,75.0,54,2.187e-04,6490.550057270598
T141-75-254,35.9,22.4,10.5,75.0,55,2.269e-04,6490.550057270598
T141-75-255,35.9,22.4,10.5,75.0,56,2.352e-04,6490.550057270598
T141-75-256,35.9,22.4,10.5,75.0,57,2.437e-04,6490.550057270598
T141-75-257,35.9,22.4,10.5,75.0,58,2.523e-04,6490.550057270598
T141-75-258,35.9,22.4,10.5,75.0,59,2.611e-04,6490.550057270598
T141-75-259,35.9,22.4,10.5,75.0,60,2.700e-04,6490.550057270598
