Combination,Capacitance,Total Volume
"series:[0.0001, 0.00022, 0.00033, 0.00047]",5.0753e-05,2.68e-06
"series:[0.0001, 0.00022, 0.00033, 0.00068]",5.2504e-05,3.246e-06
"series:[0.0001, 0.00022, 0.00033, 0.00082]",5.3205e-05,3.638e-06
"series:[0.0001, 0.00022, 0.00033, 0.001]",5.3834e-05,4.129e-06
"series:[0.0001, 0.00022, 0.00047, 0.00068]",5.5116e-05,3.497e-06
"series:[0.0001, 0.00022, 0.00047, 0.00082]",5.5889e-05,3.89e-06
"series:[0.0001, 0.00022, 0.00047, 0.001]",5.6583e-05,4.381e-06
"series:[0.0001, 0.00022, 0.00068, 0.00082]",5.802e-05,4.455e-06
"series:[0.0001, 0.00022, 0.00068, 0.001]",5.8768e-05,4.946e-06
"series:[0.0001, 0.00022, 0.00082, 0.001]",5.9648e-05,5.339e-06
"series:[0.0001, 0.00033, 0.00047, 0.00068]",6.0138e-05,3.673e-06
"series:[0.0001, 0.00033, 0.00047, 0.00082]",6.1059e-05,4.066e-06
"series:[0.0001, 0.00033, 0.00047, 0.001]",6.1889e-05,4.557e-06
"series:[0.0001, 0.00033, 0.00068, 0.00082]",6.3612e-05,4.631e-06
"series:[0.0001, 0.00033, 0.00068, 0.001]",6.4512e-05,5.122e-06
"series:[0.0001, 0.00033, 0.00082, 0.001]",6.5575e-05,5.515e-06
"series:[0.0001, 0.00047, 0.00068, 0.00082]",6.7487e-05,4.882e-06
"series:[0.0001, 0.00047, 0.00068, 0.001]",6.8501e-05,5.373e-06
"series:[0.0001, 0.00047, 0.00082, 0.001]",6.97e-05,5.766e-06
"series:[0.0001, 0.00068, 0.00082, 0.001]",7.3045e-05,6.332e-06
"series:[0.00022, 0.00033, 0.00047, 0.00068]",8.9493e-05,3.908e-06
"series:[0.00022, 0.00033, 0.00047, 0.00082]",9.1551e-05,4.301e-06
"series:[0.00022, 0.00033, 0.00047, 0.001]",9.3428e-05,4.792e-06
